count,movie_title,imdb_score,year,gross,budget,profit_markup_pr,continent,genre,mycolor,num_critic_for_reviews,country,lat,long,code
1,Osama ,7.4,2003,1127331,46000,2351,Asia,Drama,profit,105,Afghanistan,34.51666667,69.183333,AF
1,The Secret in Their Eyes ,8.2,2009,20167424,2000000,908,South America,Drama,profit,262,Argentina,-34.58333333,-58.666667,AR
1,The Secret in Their Eyes ,8.2,2009,20167424,2000000,908,South America,Mystery,profit,262,Argentina,-34.58333333,-58.666667,AR
1,The Secret in Their Eyes ,8.2,2009,20167424,2000000,908,South America,Thriller,profit,262,Argentina,-34.58333333,-58.666667,AR
1,Nine Queens ,7.9,2000,1221261,1500000,-19,South America,Crime,loss,94,Argentina,-34.58333333,-58.666667,AR
1,Nine Queens ,7.9,2000,1221261,1500000,-19,South America,Drama,loss,94,Argentina,-34.58333333,-58.666667,AR
1,Nine Queens ,7.9,2000,1221261,1500000,-19,South America,Thriller,loss,94,Argentina,-34.58333333,-58.666667,AR
1,The Holy Girl ,6.7,2004,304124,1400000,-78,South America,Drama,loss,78,Argentina,-34.58333333,-58.666667,AR
1,Knock Off ,4.8,1998,10076136,35000000,-71,North America,Action,loss,67,Aruba,12.51666667,-70.033333,AW
1,Knock Off ,4.8,1998,10076136,35000000,-71,North America,Comedy,loss,67,Aruba,12.51666667,-70.033333,AW
1,Knock Off ,4.8,1998,10076136,35000000,-71,North America,Thriller,loss,67,Aruba,12.51666667,-70.033333,AW
1,Love and Other Catastrophes ,6.4,1996,212285,250000,-15,Australia,Comedy,loss,21,Australia,-35.26666667,149.133333,AU
1,Love and Other Catastrophes ,6.4,1996,212285,250000,-15,Australia,Romance,loss,21,Australia,-35.26666667,149.133333,AU
1,Happy Feet 2 ,5.9,2011,63992328,135000000,-53,Australia,Animation,loss,156,Australia,-35.26666667,149.133333,AU
1,Happy Feet 2 ,5.9,2011,63992328,135000000,-53,Australia,Comedy,loss,156,Australia,-35.26666667,149.133333,AU
1,Happy Feet 2 ,5.9,2011,63992328,135000000,-53,Australia,Family,loss,156,Australia,-35.26666667,149.133333,AU
1,Happy Feet 2 ,5.9,2011,63992328,135000000,-53,Australia,Musical,loss,156,Australia,-35.26666667,149.133333,AU
