movie_title,imdb_score,year,gross,budget,profit_markup_pr,continent,genre,mycolor
Osama ,7.4,2003,1127331,46000.00,2351,Asia,Drama,profit
The Secret in Their Eyes ,8.2,2009,20167424,2000000.00,908,South America,Drama,profit
The Secret in Their Eyes ,8.2,2009,20167424,2000000.00,908,South America,Mystery,profit
The Secret in Their Eyes ,8.2,2009,20167424,2000000.00,908,South America,Thriller,profit
Nine Queens ,7.9,2000,1221261,1500000.00,-19,South America,Crime,loss
Nine Queens ,7.9,2000,1221261,1500000.00,-19,South America,Drama,loss
Nine Queens ,7.9,2000,1221261,1500000.00,-19,South America,Thriller,loss
The Holy Girl ,6.7,2004,304124,1400000.00,-78,South America,Drama,loss
Knock Off ,4.8,1998,10076136,35000000.00,-71,North America,Action,loss
Knock Off ,4.8,1998,10076136,35000000.00,-71,North America,Comedy,loss
Knock Off ,4.8,1998,10076136,35000000.00,-71,North America,Thriller,loss
Love and Other Catastrophes ,6.4,1996,212285,250000.00,-15,Australia,Comedy,loss
Love and Other Catastrophes ,6.4,1996,212285,250000.00,-15,Australia,Romance,loss
Happy Feet 2 ,5.9,2011,63992328,135000000.00,-53,Australia,Animation,loss
Happy Feet 2 ,5.9,2011,63992328,135000000.00,-53,Australia,Comedy,loss
Happy Feet 2 ,5.9,2011,63992328,135000000.00,-53,Australia,Family,loss
Happy Feet 2 ,5.9,2011,63992328,135000000.00,-53,Australia,Musical,loss
Australia ,6.6,2008,49551662,130000000.00,-62,Australia,Adventure,loss
Australia ,6.6,2008,49551662,130000000.00,-62,Australia,Drama,loss
Australia ,6.6,2008,49551662,130000000.00,-62,Australia,Romance,loss
Australia ,6.6,2008,49551662,130000000.00,-62,Australia,War,loss
Mad Max 2: The Road Warrior ,7.6,1981,9003011,2000000.00,350,Australia,Action,profit
Mad Max 2: The Road Warrior ,7.6,1981,9003011,2000000.00,350,Australia,Adventure,profit
Mad Max 2: The Road Warrior ,7.6,1981,9003011,2000000.00,350,Australia,Sci-Fi,profit
Mad Max 2: The Road Warrior ,7.6,1981,9003011,2000000.00,350,Australia,Thriller,profit
Shine ,7.7,1996,35811509,5500000.00,551,Australia,Biography,profit
Shine ,7.7,1996,35811509,5500000.00,551,Australia,Drama,profit
Shine ,7.7,1996,35811509,5500000.00,551,Australia,Music,profit
Shine ,7.7,1996,35811509,5500000.00,551,Australia,Romance,profit
The Proposition ,7.4,2005,1900725,2000000.00,-5,Australia,Crime,loss
The Proposition ,7.4,2005,1900725,2000000.00,-5,Australia,Drama,loss
The Proposition ,7.4,2005,1900725,2000000.00,-5,Australia,Western,loss
Opal Dream ,6.6,2006,13751,11400000.00,-100,Australia,Drama,loss
Opal Dream ,6.6,2006,13751,11400000.00,-100,Australia,Family,loss
The Blood of Heroes ,6.5,1989,882290,10000000.00,-91,Australia,Action,loss
The Blood of Heroes ,6.5,1989,882290,10000000.00,-91,Australia,Sci-Fi,loss
The Blood of Heroes ,6.5,1989,882290,10000000.00,-91,Australia,Sport,loss
House of Wax ,5.3,2005,32048809,30000000.00,7,Australia,Horror,profit
The Crocodile Hunter: Collision Course ,5.4,2002,28399192,13000000.00,118,Australia,Action,profit
The Crocodile Hunter: Collision Course ,5.4,2002,28399192,13000000.00,118,Australia,Adventure,profit
The Crocodile Hunter: Collision Course ,5.4,2002,28399192,13000000.00,118,Australia,Comedy,profit
The Crocodile Hunter: Collision Course ,5.4,2002,28399192,13000000.00,118,Australia,Family,profit
The Great Gatsby ,7.3,2013,144812796,105000000.00,38,Australia,Drama,profit
The Great Gatsby ,7.3,2013,144812796,105000000.00,38,Australia,Romance,profit
"I, Frankenstein ",5.1,2014,19059018,65000000.00,-71,Australia,Action,loss
"I, Frankenstein ",5.1,2014,19059018,65000000.00,-71,Australia,Fantasy,loss
"I, Frankenstein ",5.1,2014,19059018,65000000.00,-71,Australia,Sci-Fi,loss
"I, Frankenstein ",5.1,2014,19059018,65000000.00,-71,Australia,Thriller,loss
Crocodile Dundee II ,5.5,1988,109306210,15800000.00,592,Australia,Action,profit
Crocodile Dundee II ,5.5,1988,109306210,15800000.00,592,Australia,Adventure,profit
Crocodile Dundee II ,5.5,1988,109306210,15800000.00,592,Australia,Comedy,profit
Daybreakers ,6.5,2009,29975979,20000000.00,50,Australia,Action,profit
Daybreakers ,6.5,2009,29975979,20000000.00,50,Australia,Horror,profit
Daybreakers ,6.5,2009,29975979,20000000.00,50,Australia,Sci-Fi,profit
Daybreakers ,6.5,2009,29975979,20000000.00,50,Australia,Thriller,profit
The Railway Man ,7.1,2013,4435083,18000000.00,-75,Australia,Biography,loss
The Railway Man ,7.1,2013,4435083,18000000.00,-75,Australia,Drama,loss
The Railway Man ,7.1,2013,4435083,18000000.00,-75,Australia,Romance,loss
The Railway Man ,7.1,2013,4435083,18000000.00,-75,Australia,War,loss
The Children of Huang Shi ,7.1,2008,1027749,40000000.00,-97,Australia,Drama,loss
The Children of Huang Shi ,7.1,2008,1027749,40000000.00,-97,Australia,War,loss
Bran Nue Dae ,6.3,2009,110029,6500000.00,-98,Australia,Comedy,loss
Bran Nue Dae ,6.3,2009,110029,6500000.00,-98,Australia,Drama,loss
Bran Nue Dae ,6.3,2009,110029,6500000.00,-98,Australia,Musical,loss
Babe: Pig in the City ,5.8,1998,18318000,80000000.00,-77,Australia,Adventure,loss
Babe: Pig in the City ,5.8,1998,18318000,80000000.00,-77,Australia,Comedy,loss
Babe: Pig in the City ,5.8,1998,18318000,80000000.00,-77,Australia,Drama,loss
Babe: Pig in the City ,5.8,1998,18318000,80000000.00,-77,Australia,Family,loss
Babe: Pig in the City ,5.8,1998,18318000,80000000.00,-77,Australia,Fantasy,loss
Babe ,6.8,1995,66600000,30000000.00,122,Australia,Comedy,profit
Babe ,6.8,1995,66600000,30000000.00,122,Australia,Drama,profit
Babe ,6.8,1995,66600000,30000000.00,122,Australia,Family,profit
Mad Max Beyond Thunderdome ,6.2,1985,36200000,12305523.00,194,Australia,Action,profit
Mad Max Beyond Thunderdome ,6.2,1985,36200000,12305523.00,194,Australia,Adventure,profit
Mad Max Beyond Thunderdome ,6.2,1985,36200000,12305523.00,194,Australia,Sci-Fi,profit
Mad Max Beyond Thunderdome ,6.2,1985,36200000,12305523.00,194,Australia,Thriller,profit
Psycho Beach Party ,6.3,2000,265107,1500000.00,-82,Australia,Comedy,loss
Psycho Beach Party ,6.3,2000,265107,1500000.00,-82,Australia,Horror,loss
Psycho Beach Party ,6.3,2000,265107,1500000.00,-82,Australia,Mystery,loss
Rabbit-Proof Fence ,7.5,2002,6165429,6000000.00,3,Australia,Adventure,profit
Rabbit-Proof Fence ,7.5,2002,6165429,6000000.00,3,Australia,Biography,profit
Rabbit-Proof Fence ,7.5,2002,6165429,6000000.00,3,Australia,Drama,profit
Rabbit-Proof Fence ,7.5,2002,6165429,6000000.00,3,Australia,History,profit
Critical Care ,6,1997,141853,12000000.00,-99,Australia,Comedy,loss
Critical Care ,6,1997,141853,12000000.00,-99,Australia,Drama,loss
Crocodile Dundee ,6.5,1986,174635000,8800000.00,1884,Australia,Adventure,profit
Crocodile Dundee ,6.5,1986,174635000,8800000.00,1884,Australia,Comedy,profit
Mad Max: Fury Road ,8.1,2015,153629485,150000000.00,2,Australia,Action,profit
Mad Max: Fury Road ,8.1,2015,153629485,150000000.00,2,Australia,Adventure,profit
Mad Max: Fury Road ,8.1,2015,153629485,150000000.00,2,Australia,Sci-Fi,profit
