genre,movie_title,imdb_score
Drama,The Shawshank Redemption ,9.3
Drama,The Dark Knight ,9
Drama,Schindler's List ,8.9
Drama,The Lord of the Rings: The Return of the King ,8.9
Drama,Pulp Fiction ,8.9
Drama,The Lord of the Rings: The Fellowship of the Ring ,8.8
Drama,Fight Club ,8.8
Drama,Forrest Gump ,8.8
Drama,Goodfellas ,8.7
Drama,The Lord of the Rings: The Two Towers ,8.7
Drama,City of God ,8.7
Drama,Saving Private Ryan ,8.6
Drama,The Silence of the Lambs ,8.6
Drama,The Usual Suspects ,8.6
Drama,Interstellar ,8.6
Drama,Se7en ,8.6
Drama,American History X ,8.6
Drama,Children of Heaven ,8.5
Drama,Django Unchained ,8.5
Drama,The Prestige ,8.5
Mystery,The Usual Suspects ,8.6
Mystery,Se7en ,8.6
Mystery,The Green Mile ,8.5
Mystery,The Prestige ,8.5
Mystery,Memento ,8.5
Mystery,A Separation ,8.4
Mystery,Oldboy ,8.4
Mystery,L.A. Confidential ,8.3
Mystery,The Secret in Their Eyes ,8.2
Mystery,The Thing ,8.2
Mystery,Incendies ,8.2
Mystery,Gone Girl ,8.1
Mystery,The Bourne Ultimatum ,8.1
Mystery,Prisoners ,8.1
Mystery,Shutter Island ,8.1
Mystery,The Sixth Sense ,8.1
Mystery,Mulholland Drive ,8
Mystery,Mystic River ,8
Mystery,The Hateful Eight ,7.9
Mystery,The Bourne Identity ,7.9
Thriller,The Dark Knight ,9
Thriller,Inception ,8.8
Thriller,The Usual Suspects ,8.6
Thriller,The Silence of the Lambs ,8.6
Thriller,Se7en ,8.6
Thriller,The Lives of Others ,8.5
Thriller,Memento ,8.5
Thriller,The Prestige ,8.5
Thriller,The Departed ,8.5
Thriller,The Dark Knight Rises ,8.5
Thriller,Reservoir Dogs ,8.4
Thriller,Oldboy ,8.4
Thriller,L.A. Confidential ,8.3
Thriller,Blade Runner ,8.2
Thriller,Die Hard ,8.2
Thriller,V for Vendetta ,8.2
Thriller,The Secret in Their Eyes ,8.2
Thriller,Sin City ,8.1
Thriller,Elite Squad ,8.1
Thriller,Amores Perros ,8.1
Crime,The Shawshank Redemption ,9.3
Crime,The Dark Knight ,9
Crime,Pulp Fiction ,8.9
Crime,City of God ,8.7
Crime,Goodfellas ,8.7
Crime,The Usual Suspects ,8.6
Crime,American History X ,8.6
Crime,Se7en ,8.6
Crime,The Silence of the Lambs ,8.6
Crime,The Departed ,8.5
Crime,The Green Mile ,8.5
Crime,Reservoir Dogs ,8.4
Crime,Once Upon a Time in America ,8.4
Crime,Scarface ,8.3
Crime,Snatch ,8.3
Crime,L.A. Confidential ,8.3
Crime,The Wolf of Wall Street ,8.2
Crime,Casino ,8.2
Crime,"Lock, Stock and Two Smoking Barrels ",8.2
Crime,The Big Lebowski ,8.2
Action,The Dark Knight ,9
Action,The Lord of the Rings: The Return of the King ,8.9
Action,The Lord of the Rings: The Fellowship of the Ring ,8.8
Action,Inception ,8.8
Action,The Matrix ,8.7
Action,The Lord of the Rings: The Two Towers ,8.7
Action,Saving Private Ryan ,8.6
Action,Raiders of the Lost Ark ,8.5
Action,The Dark Knight Rises ,8.5
Action,Gladiator ,8.5
Action,Terminator 2: Judgment Day ,8.5
Action,Star Wars: Episode VI - Return of the Jedi ,8.4
Action,Baahubali: The Beginning ,8.4
Action,Aliens ,8.4
Action,Batman Begins ,8.3
Action,Indiana Jones and the Last Crusade ,8.3
Action,Die Hard ,8.2
Action,V for Vendetta ,8.2
Action,Captain America: Civil War ,8.2
Action,Kill Bill: Vol. 1 ,8.1
Comedy,Forrest Gump ,8.8
Comedy,Back to the Future ,8.5
Comedy,AmÃ©lie ,8.4
Comedy,Inside Out ,8.3
Comedy,Toy Story 3 ,8.3
Comedy,Up ,8.3
Comedy,Snatch ,8.3
Comedy,Toy Story ,8.3
Comedy,The Big Lebowski ,8.2
Comedy,Finding Nemo ,8.2
Comedy,The Wolf of Wall Street ,8.2
Comedy,"Lock, Stock and Two Smoking Barrels ",8.2
