group,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
1981,7,8,0,1,4,0,0,1,0,2,0,4,0,0,2,0,3,0,1,5,1,1
1982,3,4,0,0,3,0,0,3,1,4,0,5,0,1,2,1,6,0,0,3,0,0
1983,5,5,0,0,2,3,0,6,0,2,1,1,1,1,0,2,4,0,0,4,0,1
1984,10,6,0,1,5,3,0,9,2,3,3,5,3,0,0,4,4,0,2,2,0,0
1985,5,5,0,1,2,2,0,7,0,2,0,2,1,0,2,3,3,0,0,6,1,2
1986,7,10,0,0,10,3,0,9,0,5,0,7,0,1,3,8,6,0,1,3,1,0
1987,10,7,0,4,10,5,0,13,3,7,2,8,2,0,0,3,4,0,0,13,1,0
1988,9,3,2,1,10,4,0,11,2,7,0,8,0,1,1,4,4,0,1,11,1,1
1989,11,9,0,2,12,4,1,13,1,4,3,6,1,0,1,4,6,0,2,10,4,0
1990,9,6,0,1,12,5,0,9,2,5,0,7,3,1,1,8,6,1,1,6,0,3
1991,11,9,0,1,12,9,0,17,3,6,1,2,3,1,0,5,5,0,0,9,1,1
1992,9,4,1,2,11,11,0,18,4,5,1,6,2,2,1,10,5,0,2,10,1,1
1993,13,11,1,4,14,10,0,27,7,10,3,2,2,0,3,13,5,0,2,14,1,1
1994,18,10,1,3,27,19,1,26,7,9,1,3,0,1,5,10,3,0,1,17,1,2
1995,24,13,2,5,24,17,0,37,5,9,5,6,1,1,6,16,6,0,0,27,3,1
1996,22,18,3,4,36,23,0,59,7,9,4,7,3,4,7,24,10,0,6,35,3,0
1997,34,18,4,6,33,29,1,52,10,9,3,8,3,2,18,17,21,0,2,41,4,0
1998,28,20,6,6,59,25,0,73,15,15,4,9,4,5,14,30,15,0,3,30,3,3
1999,23,19,5,10,80,23,1,92,12,18,5,12,6,3,19,40,23,0,7,45,7,3
2000,32,30,9,6,72,33,1,83,18,18,2,16,10,2,14,41,18,0,8,45,2,3
2001,43,30,9,7,88,46,0,85,15,22,4,11,7,3,22,49,21,0,7,53,8,2
2002,42,33,9,8,78,43,3,109,23,17,5,13,7,5,21,49,20,0,10,59,9,1
2003,39,31,6,7,68,31,3,67,19,20,7,13,5,5,16,35,15,0,2,42,8,1
2004,39,31,10,11,86,30,4,88,26,19,5,17,11,6,20,63,19,0,10,49,7,3
2005,42,41,8,10,72,37,4,103,26,17,9,22,8,4,22,48,17,0,12,56,9,4
2006,33,37,15,13,72,33,3,108,29,24,10,18,8,3,20,43,18,0,12,55,8,1
2007,27,25,11,15,57,29,5,78,19,22,10,17,9,4,20,40,11,0,8,45,12,4
2008,44,36,10,11,71,29,5,94,23,24,12,17,7,4,17,48,22,0,9,46,14,1
2009,37,34,14,11,72,27,3,97,26,30,5,22,8,4,26,50,31,0,6,47,4,0
2010,47,31,9,10,73,23,5,81,28,34,5,18,4,3,13,49,15,0,4,49,5,3
2011,48,35,13,10,69,23,5,82,23,19,6,14,4,5,18,30,23,0,5,52,7,1
2012,45,34,10,8,62,29,6,71,17,25,6,21,6,4,13,30,23,0,4,50,4,2
2013,41,37,13,16,57,32,4,87,19,29,4,17,7,3,9,26,24,0,5,50,4,1
2014,51,38,10,17,48,28,3,81,18,22,5,11,7,5,18,23,24,0,5,43,8,2
2015,35,37,12,17,43,23,2,71,19,19,11,14,7,0,14,17,26,0,8,41,2,2
2016,35,23,3,5,25,9,0,24,9,10,2,9,0,0,10,7,17,0,2,20,3,1
