Country,Genre,Count
Afghanistan,Drama,1
Argentina,Crime,1
Argentina,Drama,3
Argentina,Mystery,1
Argentina,Thriller,2
Aruba,Action,1
Aruba,Comedy,1
Aruba,Thriller,1
Australia,Action,14
Australia,Adventure,14
Australia,Animation,2
Australia,Biography,3
Australia,Comedy,14
Australia,Crime,4
Australia,Drama,19
Australia,Family,6
Australia,Fantasy,5
Australia,History,1
Australia,Horror,5
Australia,Music,1
Australia,Musical,2
Australia,Mystery,5
Australia,Romance,9
Australia,Sci-Fi,10
Australia,Sport,1
Australia,Thriller,10
Australia,War,4
Australia,Western,2
Belgium,Adventure,1
Belgium,Animation,1
Belgium,Biography,1
Belgium,Comedy,1
Belgium,Drama,1
Belgium,Family,1
Belgium,Fantasy,1
Belgium,Thriller,1
Brazil,Action,1
Brazil,Comedy,1
Brazil,Crime,2
Brazil,Drama,5
Brazil,Thriller,1
Canada,Action,11
Canada,Adventure,8
Canada,Animation,1
Canada,Biography,4
Canada,Comedy,26
Canada,Crime,11
Canada,Drama,33
Canada,Family,6
Canada,Fantasy,9
Canada,History,2
Canada,Horror,17
Canada,Music,2
Canada,Musical,1
Canada,Mystery,15
Canada,Romance,11
Canada,Sci-Fi,13
Canada,Sport,5
Canada,Thriller,21
Canada,War,1
Chile,Biography,1
Chile,Drama,1
Chile,History,1
China,Action,8
China,Adventure,6
China,Biography,1
China,Drama,12
China,Fantasy,1
China,History,8
China,Romance,4
China,Thriller,1
China,War,4
Colombia,Crime,1
Colombia,Drama,1
Czech Republic,Comedy,1
Czech Republic,Crime,1
Czech Republic,Drama,2
Czech Republic,Fantasy,1
Czech Republic,Horror,1
Czech Republic,Romance,1
Czech Republic,Thriller,2
Czech Republic,War,1
Denmark,Action,1
Denmark,Crime,2
Denmark,Documentary,1
Denmark,Drama,8
Denmark,History,1
Denmark,Musical,1
Denmark,Sci-Fi,2
Denmark,Thriller,2
Denmark,War,1
Finland,Comedy,1
Finland,Drama,1
France,Action,28
France,Adventure,12
France,Animation,7
France,Biography,10
France,Comedy,27
France,Crime,29
France,Documentary,2
France,Drama,66
France,Family,7
France,Fantasy,8
France,History,8
France,Horror,10
France,Music,4
France,Musical,1
France,Mystery,11
France,Romance,21
France,Sci-Fi,11
France,Thriller,47
France,War,12
France,Western,1
Georgia,Action,1
Georgia,Drama,1
Georgia,War,1
Germany,Action,25
Germany,Adventure,15
Germany,Animation,3
Germany,Biography,8
Germany,Comedy,27
Germany,Crime,25
Germany,Documentary,1
Germany,Drama,42
Germany,Family,11
Germany,Fantasy,10
Germany,History,2
Germany,Horror,8
Germany,Music,2
Germany,Mystery,11
Germany,Romance,20
Germany,Sci-Fi,9
Germany,Sport,3
Germany,Thriller,29
Germany,War,5
Greece,Adventure,1
Greece,Drama,1
Greece,Sci-Fi,1
Greece,Thriller,1
Hong Kong,Action,11
Hong Kong,Adventure,1
Hong Kong,Animation,2
Hong Kong,Biography,2
Hong Kong,Comedy,7
Hong Kong,Crime,2
Hong Kong,Drama,5
Hong Kong,Family,2
Hong Kong,Fantasy,3
Hong Kong,History,2
Hong Kong,Romance,3
Hong Kong,Sci-Fi,3
Hong Kong,Sport,1
Hong Kong,Thriller,1
Hong Kong,War,1
Hungary,Adventure,1
Hungary,Comedy,1
Hungary,Drama,1
Hungary,Family,1
Hungary,Romance,2
Hungary,War,1
Iceland,Comedy,1
Iceland,Drama,2
Iceland,Romance,1
India,Action,2
India,Adventure,2
India,Comedy,3
India,Drama,10
India,Fantasy,1
India,Musical,2
India,Romance,8
India,Thriller,3
India,War,1
Indonesia,Action,1
Indonesia,Crime,1
Indonesia,Thriller,1
Iran,Drama,3
Iran,Family,1
Iran,Mystery,1
Ireland,Action,1
Ireland,Biography,1
Ireland,Comedy,2
Ireland,Crime,2
